city	brand	car_title	offer_price	mileage	newcar_price	car_age	result	
安庆	海马S7	改款2.0L手动纵骋型	6	5.22	11.6	36	0.517241379
安庆	华泰圣达菲经典	C92.0T柴油手动两驱豪华型	1.8	9.8	16.8	92	0.107142857
安庆	汉腾X7	X7S1.5T自动尊享型	8	1.73	11.9	6	0.672268908
安庆	红旗H7	2.0T豪华型	18.5	4.3	34.7	27	0.53314121
安庆	吉利经典帝豪	两厢1.5L手动超悦型	2.18	4.93	7.3	74	0.298630137
安庆	吉利经典帝豪	三厢1.5L手动超悦惠民型	2.4	11.47	7.8	78	0.307692308
安庆	吉利海景	节能版1.5L手动超悦型	2.2	4.8	5.9	60	0.372881356
安庆	吉利经典帝豪	三厢1.8L手动尊贵型	3.1	11	10.5	91	0.295238095
安庆	江淮iEV	iEV7	6	1.33	17.2	12	0.348837209
安庆	江淮瑞风S2	1.5L手动豪华智能型	4.1	4.68	7.4	25	0.554054054
安庆	江淮瑞风M5	2.0T汽油手动公务版	7.13	7.9	16.2	56	0.440123457
安庆	江淮和悦	1.5L手动豪华型	1.75	7.55	8.1	95	0.216049383
安庆	江淮瑞风S3	1.5LCVT豪华智能尊享版	5.5	3.61	9.6	28	0.572916667
安庆	江淮瑞风	2.4L政采版手动豪华型	3.2	12.65	13	81	0.246153846
安庆	江淮瑞风M4	2.0L手动豪华型	8.18	2.04	13	21	0.629230769
安庆	江淮瑞风S3	1.5L手动豪华智能型	4.98	2.22	8.1	41	0.614814815
安庆	江淮和悦	1.5L手动尊贵型	1.8	5.3	9.2	94	0.195652174
安庆	江淮瑞风S5	2.0L手动豪华型	5.2	2.9	10.8	29	0.481481481
安庆	江淮瑞风S5	2.0L手动尊贵版	4.2	7.01	10.8	57	0.388888889
安庆	江淮瑞风	2.0L穿梭汽油舒适版HFC4GA3	5	5.39	11.5	56	0.434782609
安庆	江铃域虎	2.4T四驱手动普通版JX4D24	8.2	4.6	15	55	0.546666667
安庆	江铃驭胜S350	2.0T手动四驱汽油豪华天窗版5座	9.8	1.44	14.5	23	0.675862069
安庆	江铃驭胜S330	1.5LGTDi自动两驱旗舰版	8.8	0.98	14.1	21	0.624113475
安庆	凯迪拉克ATS-L	28T技术型	22	0.53	32.4	5	0.679012346
安庆	凯迪拉克SRX	3.0L精英型(进口)	25	6.97	51	40	0.490196078
安庆	开瑞K50	K50S1.5L手动舒适型	3.3	2.05	6.6	29	0.5
安庆	开瑞优雅	1.3L标准型	1.45	2.66	5.3	67	0.273584906
安庆	铃木北斗星	e1.4L手动豪华型	1.55	4	5.8	89	0.267241379
安庆	铃木锋驭	1.6L手动两驱进取型	7.15	7.61	11.9	45	0.600840336
安庆	路虎揽胜极光	2.0T五门智耀版	27.99	6.02	50.8	38	0.550984252
安庆	路虎神行者2	2.0TSi4SE汽油版(进口)	27	4.58	58.4	59	0.462328767
安庆	陆风X8	探索版2.5T柴油4X2豪华型	5.5	12.7	14.3	62	0.384615385
安庆	陆风X7	2.0T全景尊贵版	10	1.9	15.2	16	0.657894737
安庆	力帆丰顺	1.3L豪华型LF479Q5-1	0.48	11.5	4.7	94	0.10212766
安庆	马自达昂克赛拉	三厢1.5L自动豪华型	10.48	0.44	15.2	8	0.689473684
安庆	马自达阿特兹	2.0L蓝天豪华版	13.46	1.9	20.5	32	0.656585366
安庆	荣威350	350S1.5L手动迅驰版	3.8	6.24	9.7	55	0.391752577
安庆	荣威360	1.5L手动豪华版	5	4.4	9	33	0.555555556
安庆	三菱翼神	时尚版1.8L手动舒适型	3.2	9.77	12.7	97	0.251968504
安庆	三菱劲炫ASX	2.0LCVT两驱领航版	11.6	1.5	16.3	16	0.711656442
安庆	五菱之光	1.1L新版标准型I长车身LXA	1.4	9.91	4.6	92	0.304347826
安庆	五菱荣光	1.2L舒适型	2	5.65	5.8	60	0.344827586
安庆	沃尔沃XC90	T6智雅版7座(进口)	52.8	2.88	91	27	0.58021978
安庆	沃尔沃V40	2.0T智逸版(进口)	12.6	3.6	28.2	58	0.446808511
安庆	沃尔沃XC90	2.5T北欧豪华版(进口)	22	7	64.9	61	0.338983051
安庆	沃尔沃S60L	T3智进版	19	0.74	30.1	12	0.631229236
安庆	沃尔沃C30	2.0LAktiv乐动套装版(进口)	9.5	2.8	25.4	73	0.374015748
安庆	沃尔沃S60	2.0T进取版(进口)	18.4	5.91	30.7	61	0.599348534
安庆	现代朗动	1.6L手动领先型	5.78	4.06	12.6	31	0.458730159
安庆	现代名图	1.8L自动尊贵型DLX	10.8	0.65	17.3	18	0.624277457
安庆	现代名图	1.8L自动尊贵型DLX	13.5	0.6	17.3	15	0.780346821
安庆	现代名图	1.6T自动智能型GLS	13	0.25	17.3	8	0.751445087
安庆	现代瑞纳	1.4L手动智能型GLS	4.35	2.9	8.6	35	0.505813953
安庆	现代索纳塔八	2.4L自动顶级版国IV	11.3	2.86	27.1	21	0.41697417
安庆	现代朗动	1.6L自动尊贵型	7.3	5.18	14.6	40	0.5
安庆	现代朗动	1.6L自动尊贵型	8.5	0.61	14.6	28	0.582191781
安庆	现代全新胜达	改款3.0L四驱舒适导航版欧IV(进口)	14.5	14.65	35	61	0.414285714
安庆	现代朗动	1.6L自动尊贵型	9.08	0.15	13.9	4	0.65323741
安庆	现代索纳塔八	2.0L自动时尚版	8.78	4.69	18.1	58	0.485082873
安庆	现代瑞纳	三厢1.4L手动舒适型GS	3.8	5.5	8.6	71	0.441860465
安庆	现代索纳塔八	2.4L自动豪华版国IV	9.5	4.12	22.8	48	0.416666667
安庆	现代全新胜达	改款2.0T自动四驱时尚型	15.98	7.68	29.5	43	0.541694915
